Sample Date,Status,CFU/100ml,Wet
6/24/21,Yellow Clean for Boating,461.1,N
6/17/21,Yellow Clean for Boating,275.5,N
6/10/21,Red Not Clean for Boating or Swimming,727,Y
6/3/21,Blue Clean for Boating and Swimming,158,N
10/29/20,Yellow Clean for Boating,259.5,N
10/22/20,Blue Clean for Boating and Swimming,95.9,N
10/15/20,Yellow Clean for Boating,235.9,N
10/8/20,Yellow Clean for Boating,240,N
10/1/20,Red Not Clean for Boating or Swimming,> 2419.6,Y
9/24/20,Blue Clean for Boating and Swimming,69.1,N
9/17/20,Blue Clean for Boating and Swimming,118.7,N
9/10/20,Blue Clean for Boating and Swimming,186,N
9/3/20,Red Not Clean for Boating or Swimming,> 2419.6,Y
8/27/20,Blue Clean for Boating and Swimming,135.4,N
8/20/20,Yellow Clean for Boating,344.8,Y
8/13/20,Blue Clean for Boating and Swimming,122.3,N
8/6/20,Yellow Clean for Boating,344.8,Y
7/30/20,Yellow Clean for Boating,547.5,Y
7/23/20,Red Not Clean for Boating or Swimming,> 2419.6,Y
7/16/20,Blue Clean for Boating and Swimming,224.7,N
7/9/20,Yellow Clean for Boating,292.4,N
7/2/20,Yellow Clean for Boating,410.6,Y
7/2/20,Yellow Clean for Boating,410.6,Y
10/3/19,Blue Clean for Boating and Swimming,74.9,Y
9/26/19,Blue Clean for Boating and Swimming,187.2,N
9/19/19,Blue Clean for Boating and Swimming,73.3,N
9/12/19,Blue Clean for Boating and Swimming,126.7,Y
8/29/19,Red Not Clean for Boating or Swimming,> 2419.6,Y
8/22/19,Yellow Clean for Boating,461.1,Y
8/15/19,Yellow Clean for Boating,488.4,N
8/8/19,Red Not Clean for Boating or Swimming,> 2419.6,Y
8/1/19,Red Not Clean for Boating or Swimming,613.1,Y
7/25/19,Yellow Clean for Boating,285.1,N
7/18/19,Red Not Clean for Boating or Swimming,> 2419.6,Y
7/11/19,Yellow Clean for Boating,261.3,N
7/4/19,Blue Clean for Boating and Swimming,228.2,N
6/27/19,Yellow Clean for Boating,435.2,Y
6/20/19,Yellow Clean for Boating,435.2,Y
6/13/19,Blue Clean for Boating and Swimming,142.1,Y
6/6/19,Yellow Clean for Boating,488.4,N
5/30/19,Blue Clean for Boating and Swimming,74.9,Y
9/27/18,Red Not Clean for Boating or Swimming,1553.1,Y
9/20/18,Blue Clean for Boating and Swimming,214.3,Y
9/13/18,Red Not Clean for Boating or Swimming,980.4,Y
9/6/18,Blue Clean for Boating and Swimming,115.3,N
8/30/18,Blue Clean for Boating and Swimming,195.6,N
8/23/18,Blue Clean for Boating and Swimming,191.8,Y
8/16/18,Blue Clean for Boating and Swimming,127.4,Y
8/9/18,Red Not Clean for Boating or Swimming,1986.3,Y
8/2/18,Yellow Clean for Boating,344.8,Y
7/26/18,Red Not Clean for Boating or Swimming,1732.9,Y
7/19/18,Blue Clean for Boating and Swimming,228.2,Y
7/12/18,Blue Clean for Boating and Swimming,103.9,N
7/5/18,Blue Clean for Boating and Swimming,155.3,N
6/28/18,Red Not Clean for Boating or Swimming,> 2419.6,Y
6/21/18,Blue Clean for Boating and Swimming,111.2,N
6/14/18,Yellow Clean for Boating,248.1,N
6/7/18,Blue Clean for Boating and Swimming,228.2,N
5/31/18,Blue Clean for Boating and Swimming,201.4,N
10/5/17,Blue Clean for Boating and Swimming,62,N
9/28/17,Yellow Clean for Boating,488.4,N
9/21/17,Blue Clean for Boating and Swimming,135.4,N
9/14/17,Blue Clean for Boating and Swimming,107.6,N
9/7/17,Red Not Clean for Boating or Swimming,816.4,Y
8/31/17,Red Not Clean for Boating or Swimming,980.4,N
8/24/17,Yellow Clean for Boating,307.6,Y
8/17/17,Blue Clean for Boating and Swimming,109.5,N
8/10/17,Yellow Clean for Boating,325.5,N
8/3/17,Blue Clean for Boating and Swimming,117.2,N
7/27/17,Blue Clean for Boating and Swimming,172.2,N
7/20/17,Blue Clean for Boating and Swimming,186,N
7/13/17,Red Not Clean for Boating or Swimming,1986.3,Y
7/6/17,Blue Clean for Boating and Swimming,209.8,N
6/29/17,Blue Clean for Boating and Swimming,146.4,N
6/22/17,Yellow Clean for Boating,307.6,N
6/15/17,Blue Clean for Boating and Swimming,124.6,N
6/8/17,Blue Clean for Boating and Swimming,131.4,Y
6/1/17,Red Not Clean for Boating or Swimming,770.1,Y
10/6/16,Blue Clean for Boating and Swimming,98.7,N
9/29/16,Blue Clean for Boating and Swimming,172.5,N
9/22/16,Red Not Clean for Boating or Swimming,980.4,N
9/15/16,Blue Clean for Boating and Swimming,122.3,N
9/8/16,Yellow Clean for Boating,517.2,N
9/1/16,Blue Clean for Boating and Swimming,193.5,N
8/25/16,Yellow Clean for Boating,365.4,N
8/18/16,Red Not Clean for Boating or Swimming,1553.1,Y
8/11/16,Red Not Clean for Boating or Swimming,866.4,Y
8/4/16,Red Not Clean for Boating or Swimming,613.1,N
7/28/16,Blue Clean for Boating and Swimming,162.4,N
7/21/16,Yellow Clean for Boating,235.9,N
7/14/16,Yellow Clean for Boating,238.2,N
7/7/16,Red Not Clean for Boating or Swimming,1986.3,N
6/30/16,Yellow Clean for Boating,435.2,N
6/23/16,Blue Clean for Boating and Swimming,130.9,N
6/16/16,Yellow Clean for Boating,488.4,N
6/9/16,Yellow Clean for Boating,290.9,N
6/2/16,Blue Clean for Boating and Swimming,160.7,N
10/1/15,Red Not Clean for Boating or Swimming,> 2419.6,Y
9/24/15,Blue Clean for Boating and Swimming,78,N
9/17/15,Blue Clean for Boating and Swimming,135.4,N
9/10/15,Red Not Clean for Boating or Swimming,> 2419.6,Y
9/3/15,Blue Clean for Boating and Swimming,122.3,N
8/27/15,Yellow Clean for Boating,307.6,Y
8/20/15,Blue Clean for Boating and Swimming,115.3,N
8/13/15,Yellow Clean for Boating,387.3,Y
8/6/15,Blue Clean for Boating and Swimming,186,Y
8/6/15,Blue Clean for Boating and Swimming,186,Y
7/30/15,Yellow Clean for Boating,344.8,N
7/23/15,Blue Clean for Boating and Swimming,127.4,N
7/16/15,Blue Clean for Boating and Swimming,122.3,Y
7/9/15,Blue Clean for Boating and Swimming,214.2,N
7/2/15,Yellow Clean for Boating,435.2,N
6/25/15,Blue Clean for Boating and Swimming,119.8,Y
6/18/15,Blue Clean for Boating and Swimming,172.2,N
6/11/15,Yellow Clean for Boating,235.9,Y
6/4/15,Yellow Clean for Boating,261.3,N
5/28/15,Red Not Clean for Boating or Swimming,>2419.6,Y
10/2/14,Red Not Clean for Boating or Swimming,1986.3,Y
9/25/14,Blue Clean for Boating and Swimming,95.9,N
9/18/14,Blue Clean for Boating and Swimming,59.4,Y
9/11/14,Blue Clean for Boating and Swimming,95.9,N
9/4/14,Blue Clean for Boating and Swimming,172.2,N
8/28/14,Blue Clean for Boating and Swimming,118.7,N
8/21/14,Blue Clean for Boating and Swimming,93.2,N
8/14/14,Red Not Clean for Boating or Swimming,> 2419.6,Y
8/7/14,Blue Clean for Boating and Swimming,85.5,Y
7/31/14,Blue Clean for Boating and Swimming,139.1,N
7/24/14,Red Not Clean for Boating or Swimming,>2419.6,Y
7/17/14,Yellow Clean for Boating,435.2,Y
7/10/14,Yellow Clean for Boating,325.5,Y
7/3/14,Red Not Clean for Boating or Swimming,>2419.6,Y
6/26/14,Red Not Clean for Boating or Swimming,>2419.6,Y
6/19/14,Blue Clean for Boating and Swimming,214.3,Y
6/12/14,Blue Clean for Boating and Swimming,131.4,N
6/5/14,Blue Clean for Boating and Swimming,172.3,Y
5/29/14,Blue Clean for Boating and Swimming,151.5,N
10/3/13,Yellow Clean for Boating,285.1,N
9/26/13,Blue Clean for Boating and Swimming,101.7,N
9/19/13,Blue Clean for Boating and Swimming,90.8,N
9/12/13,Red Not Clean for Boating or Swimming,686.7,Y
9/5/13,Yellow Clean for Boating,387.3,N
8/29/13,Yellow Clean for Boating,240,Y
8/22/13,Blue Clean for Boating and Swimming,184.2,N
8/15/13,Blue Clean for Boating and Swimming,104.6,Y
8/8/13,Blue Clean for Boating and Swimming,131.4,N
8/1/13,Blue Clean for Boating and Swimming,139.6,N
7/25/13,Red Not Clean for Boating or Swimming,613.1,Y
7/18/13,Blue Clean for Boating and Swimming,146.7,N
7/11/13,Red Not Clean for Boating or Swimming,727,Y
7/4/13,Blue Clean for Boating and Swimming,90.9,N
6/27/13,Blue Clean for Boating and Swimming,218.7,Y
6/20/13,Blue Clean for Boating and Swimming,73.3,Y
6/13/13,Blue Clean for Boating and Swimming,111.2,Y
6/6/13,Blue Clean for Boating and Swimming,110.6,N
5/30/13,Red Not Clean for Boating or Swimming,770.1,Y
10/4/12,Blue Clean for Boating and Swimming,90.8,N
9/27/12,Blue Clean for Boating and Swimming,116.2,N
9/20/12,Red Not Clean for Boating or Swimming,1046.2,N
9/13/12,Blue Clean for Boating and Swimming,98.7,N
9/6/12,Red Not Clean for Boating or Swimming,2419.6,Y
8/30/12,Yellow Clean for Boating,328.2,N
8/23/12,Blue Clean for Boating and Swimming,90.6,N
8/16/12,Yellow Clean for Boating,435.2,Y
8/9/12,Blue Clean for Boating and Swimming,125,N
8/2/12,Yellow Clean for Boating,290.9,N
7/26/12,Yellow Clean for Boating,435.2,Y
7/19/12,Yellow Clean for Boating,365.4,N
7/12/12,Yellow Clean for Boating,461.1,N
7/5/12,Blue Clean for Boating and Swimming,156.5,N
6/28/12,Blue Clean for Boating and Swimming,131.4,N
6/21/12,Blue Clean for Boating and Swimming,159.7,N
6/14/12,Blue Clean for Boating and Swimming,193.5,Y
6/7/12,Blue Clean for Boating and Swimming,172,Y
5/31/12,Red Not Clean for Boating or Swimming,727,Y